Time[s], RIGHT, LEFT, BACK, FWD, SO
3.834316, 1, 1, 1, 0, 1
3.835316, 1, 1, 1, 0, 0
3.835646, 1, 1, 1, 0, 1
3.836645, 1, 1, 1, 0, 0
3.836976, 1, 1, 1, 0, 1
3.837975, 1, 1, 1, 0, 0
3.838305, 1, 1, 1, 0, 1
3.838639, 1, 1, 1, 0, 0
3.838969, 1, 1, 1, 0, 1
3.839302, 1, 1, 1, 0, 0
3.839632, 1, 1, 1, 0, 1
3.839965, 1, 1, 1, 0, 0
3.840296, 1, 1, 1, 0, 1
3.840629, 1, 1, 1, 0, 0
3.840959, 1, 1, 1, 0, 1
3.841292, 1, 1, 1, 0, 0
3.841623, 1, 1, 1, 0, 1
3.841956, 1, 1, 1, 0, 0
3.842286, 1, 1, 1, 0, 1
3.842619, 1, 1, 1, 0, 0
3.842949, 1, 1, 1, 0, 1
3.843283, 1, 1, 1, 0, 0
3.843613, 1, 1, 1, 0, 1
3.843946, 1, 1, 1, 0, 0
3.844276, 1, 1, 1, 0, 1
3.844609, 1, 1, 1, 0, 0
3.84494, 1, 1, 1, 0, 1
3.845939, 1, 1, 1, 0, 0
3.846269, 1, 1, 1, 0, 1
3.847269, 1, 1, 1, 0, 0
3.847599, 1, 1, 1, 0, 1
3.848598, 1, 1, 1, 0, 0
3.848928, 1, 1, 1, 0, 1
3.849928, 1, 1, 1, 0, 0
3.850258, 1, 1, 1, 0, 1
3.850591, 1, 1, 1, 0, 0
3.850921, 1, 1, 1, 0, 1
3.851255, 1, 1, 1, 0, 0
3.851585, 1, 1, 1, 0, 1
3.851918, 1, 1, 1, 0, 0
3.852248, 1, 1, 1, 0, 1
3.852581, 1, 1, 1, 0, 0
3.852912, 1, 1, 1, 0, 1
3.853245, 1, 1, 1, 0, 0
3.853575, 1, 1, 1, 0, 1
3.853908, 1, 1, 1, 0, 0
3.854238, 1, 1, 1, 0, 1
3.854572, 1, 1, 1, 0, 0
3.854902, 1, 1, 1, 0, 1
3.855235, 1, 1, 1, 0, 0
3.855565, 1, 1, 1, 0, 1
3.855899, 1, 1, 1, 0, 0
3.856229, 1, 1, 1, 0, 1
3.856562, 1, 1, 1, 0, 0
3.856892, 1, 1, 1, 0, 1
3.857892, 1, 1, 1, 0, 0
3.858222, 1, 1, 1, 0, 1
3.859221, 1, 1, 1, 0, 0
3.859552, 1, 1, 1, 0, 1
3.860551, 1, 1, 1, 0, 0
3.860881, 1, 1, 1, 0, 1
3.861881, 1, 1, 1, 0, 0
3.862211, 1, 1, 1, 0, 1
3.862544, 1, 1, 1, 0, 0
3.862874, 1, 1, 1, 0, 1
3.863207, 1, 1, 1, 0, 0
3.863538, 1, 1, 1, 0, 1
3.863871, 1, 1, 1, 0, 0
3.864201, 1, 1, 1, 0, 1
3.864534, 1, 1, 1, 0, 0
3.864865, 1, 1, 1, 0, 1
3.865198, 1, 1, 1, 0, 0
3.865528, 1, 1, 1, 0, 1
3.865861, 1, 1, 1, 0, 0
3.866191, 1, 1, 1, 0, 1
3.866524, 1, 1, 1, 0, 0
3.866855, 1, 1, 1, 0, 1
3.867188, 1, 1, 1, 0, 0
3.867518, 1, 1, 1, 0, 1
3.867851, 1, 1, 1, 0, 0
3.868181, 1, 1, 1, 0, 1
3.868514, 1, 1, 1, 0, 0
3.868845, 1, 1, 1, 0, 1
3.869844, 1, 1, 1, 0, 0
3.870174, 1, 1, 1, 0, 1
3.871174, 1, 1, 1, 0, 0
3.871504, 1, 1, 1, 0, 1
3.872503, 1, 1, 1, 0, 0
3.872834, 1, 1, 1, 0, 1
3.873833, 1, 1, 1, 0, 0
3.874163, 1, 1, 1, 0, 1
3.874496, 1, 1, 1, 0, 0
3.874827, 1, 1, 1, 0, 1
3.87516, 1, 1, 1, 0, 0
3.87549, 1, 1, 1, 0, 1
3.875823, 1, 1, 1, 0, 0
3.876154, 1, 1, 1, 0, 1
3.876487, 1, 1, 1, 0, 0
3.876817, 1, 1, 1, 0, 1
3.87715, 1, 1, 1, 0, 0
3.877481, 1, 1, 1, 0, 1
